version;reserved0;flags;invalidLlh;iTOW;lon;lat;height;hMSL;lonHp;latHp;heightHp;hMSLHp;hAcc;vAcc
0;0;('X001', {'invalidLlh': 'U001'});0;219930000;14.190921409;40.828875058;85228.1;43952.5;9;-42;1;5;44.7;67.0
0;0;('X001', {'invalidLlh': 'U001'});0;219931000;14.190921408;40.828875067;85226.8;43951.2;8;-33;-2;2;44.6;66.8
0;0;('X001', {'invalidLlh': 'U001'});0;219932000;14.19092142;40.828875092;85229.3;43953.6;20;-8;3;-4;44.6;66.7
0;0;('X001', {'invalidLlh': 'U001'});0;219933000;14.19092141;40.828875099;85224.3;43948.7;10;-1;3;-3;44.6;66.6
0;0;('X001', {'invalidLlh': 'U001'});0;219934000;14.190921417;40.828875101;85224.3;43948.7;17;1;3;-3;44.9;66.9
0;0;('X001', {'invalidLlh': 'U001'});0;219935000;14.190921436;40.828875089;85219.6;43944.0;36;-11;-4;0;44.9;66.7
0;0;('X001', {'invalidLlh': 'U001'});0;219936000;14.190921428;40.828875096;85222.6;43947.0;28;-4;-4;0;45.1;66.9
0;0;('X001', {'invalidLlh': 'U001'});0;219937000;14.190921183;40.828875117;85249.6;43974.0;-17;17;-4;0;40.4;59.8
0;0;('X001', {'invalidLlh': 'U001'});0;219938000;14.190921138;40.828875154;85256.2;43980.6;38;-46;2;-4;40.0;59.0
0;0;('X001', {'invalidLlh': 'U001'});0;219939000;14.190921148;40.828875158;85255.5;43979.9;48;-42;-5;-1;39.5;58.5
0;0;('X001', {'invalidLlh': 'U001'});0;219940000;14.190921177;40.828875152;85258.4;43982.8;-23;-48;4;-2;39.5;58.5
0;0;('X001', {'invalidLlh': 'U001'});0;219941000;14.190921189;40.828875123;85250.0;43974.4;-11;23;0;4;39.5;58.5
0;0;('X001', {'invalidLlh': 'U001'});0;219942000;14.190921245;40.828875118;85242.3;43966.7;45;18;3;-3;39.7;58.5
0;0;('X001', {'invalidLlh': 'U001'});0;219943000;14.19092127;40.828875142;85241.4;43965.8;-30;42;4;-2;39.8;58.6
0;0;('X001', {'invalidLlh': 'U001'});0;219944000;14.190921302;40.828875141;85244.2;43968.6;2;41;2;-4;39.4;58.1
0;0;('X001', {'invalidLlh': 'U001'});0;219945000;14.190921311;40.828875154;85243.7;43968.1;11;-46;-3;1;39.3;58.0
0;0;('X001', {'invalidLlh': 'U001'});0;219946000;14.190921339;40.828875142;85240.8;43965.2;39;42;-2;2;39.2;58.0
0;0;('X001', {'invalidLlh': 'U001'});0;219947000;14.190921357;40.828875133;85241.7;43966.1;-43;33;-3;1;39.4;58.1
0;0;('X001', {'invalidLlh': 'U001'});0;219948000;14.190921367;40.828875139;85236.8;43961.2;-33;39;-2;2;39.3;58.2
0;0;('X001', {'invalidLlh': 'U001'});0;219949000;14.190921362;40.828875145;85250.4;43974.7;-38;45;4;-3;38.9;57.5
0;0;('X001', {'invalidLlh': 'U001'});0;219950000;14.190921382;40.828875151;85249.9;43974.2;-18;-49;-1;2;38.9;57.4
0;0;('X001', {'invalidLlh': 'U001'});0;219951000;14.190921387;40.82887514;85249.0;43973.4;-13;40;0;4;39.1;57.5
0;0;('X001', {'invalidLlh': 'U001'});0;219952000;14.190921424;40.828875129;85243.2;43967.6;24;29;2;-4;39.2;57.6
0;0;('X001', {'invalidLlh': 'U001'});0;219953000;14.190921444;40.828875114;85245.2;43969.6;44;14;2;-4;39.4;58.0
0;0;('X001', {'invalidLlh': 'U001'});0;219954000;14.190921415;40.82887509;85246.8;43971.2;15;-10;-2;2;38.9;57.4
0;0;('X001', {'invalidLlh': 'U001'});0;219955000;14.190921449;40.82887507;85244.6;43969.0;49;-30;-4;0;39.0;57.3
0;0;('X001', {'invalidLlh': 'U001'});0;219956000;14.190921453;40.828875059;85243.3;43967.7;-47;-41;3;-3;38.7;57.2
0;0;('X001', {'invalidLlh': 'U001'});0;219957000;14.190921463;40.828875045;85237.2;43961.6;-37;45;2;-4;38.8;57.2
0;0;('X001', {'invalidLlh': 'U001'});0;219958000;14.190921474;40.828875058;85237.9;43962.3;-26;-42;-1;3;38.8;57.4
0;0;('X001', {'invalidLlh': 'U001'});0;219959000;14.190921458;40.828875047;85242.7;43967.1;-42;47;-3;1;38.4;56.9
0;0;('X001', {'invalidLlh': 'U001'});0;219960000;14.190921462;40.828875044;85248.0;43972.4;-38;44;0;4;38.4;56.9
0;0;('X001', {'invalidLlh': 'U001'});0;219961000;14.190921469;40.828875045;85250.8;43975.2;-31;45;-2;2;38.4;56.9
0;0;('X001', {'invalidLlh': 'U001'});0;219962000;14.190921484;40.828875044;85253.1;43977.4;-16;44;1;4;38.5;57.0
0;0;('X001', {'invalidLlh': 'U001'});0;219963000;14.190921455;40.828875024;85251.0;43975.4;-45;24;0;4;38.6;57.0
0;0;('X001', {'invalidLlh': 'U001'});0;219964000;14.190921433;40.828875026;85253.6;43978.0;33;26;-4;0;38.7;57.2
0;0;('X001', {'invalidLlh': 'U001'});0;219965000;14.19092141;40.828875015;85262.7;43987.1;10;15;-3;1;38.8;57.3
0;0;('X001', {'invalidLlh': 'U001'});0;219966000;14.190921444;40.828875003;85270.6;43994.9;44;3;-4;-1;39.0;57.5
0;0;('X001', {'invalidLlh': 'U001'});0;219967000;14.190921227;40.82887512;85282.1;44006.5;27;20;1;-5;35.3;52.4
0;0;('X001', {'invalidLlh': 'U001'});0;219968000;14.190921194;40.828875159;85283.7;44008.1;-6;-41;-3;1;35.2;52.1
