Timestamp;Longitude;Latitude;Height
220151000;14.190921624;40.828875118;85277.3
220152000;14.190921639;40.828875076;85278.4
220153000;14.190921657;40.828875058;85281.2
220154000;14.19092169;40.828875054;85277.1
220154837;14.190921731;40.828875048;85278.4
220155117;14.190921731;40.828875048;85278.4
220155500;14.190922404;40.828913101;83995.4
220156000;14.190929002;40.828887147;83206.8
220157000;14.190932308;40.828872746;80382.4
220158000;14.190932902;40.828870247;79706.2
220159000;14.190933163;40.828869272;79566.5
220160000;14.190934018;40.828867165;80109.2
220161000;14.190936188;40.828867056;79919.1
220162000;14.190936497;40.828868194;79390.8
220163000;14.190936505;40.828869193;78965.4
220164000;14.190936337;40.828868903;78969.0
220165000;14.190936208;40.828868651;78966.7
220166000;14.190936145;40.828868306;78985.5
220167000;14.19093607;40.828867994;78989.0
220168000;14.190935951;40.828867797;78988.1
220169000;14.190935906;40.828867545;78963.6
220170000;14.190935904;40.828867282;78945.4
220171000;14.190935849;40.828867088;78943.0
220172000;14.190935814;40.828866872;78925.1
220173000;14.190935768;40.82886667;78909.1
220174000;14.190935707;40.828866498;78879.1
220175000;14.190935613;40.828866371;78842.3
220176000;14.190916385;40.82888054;77264.8
220177000;14.190925524;40.828877879;80504.4
220178000;14.1909259;40.82887854;81523.2
220179000;14.190925893;40.828879049;82115.2
220180000;14.19092582;40.828879433;82516.3
220181000;14.190925736;40.828879756;82842.9
220182000;14.190925552;40.828879907;83079.3
220183000;14.190925357;40.828880016;83266.3
220184000;14.190925154;40.828880097;83419.3
220185000;14.190924938;40.828880191;83534.9
220186000;14.190924715;40.82888027;83624.7
220187000;14.190924497;40.82888033;83690.0
220188000;14.190924306;40.828880379;83746.0
220189000;14.190924123;40.828880424;83791.7
220190000;14.190923959;40.828880508;83831.3
220191000;14.19092382;40.828880596;83866.3
220192000;14.190923697;40.828880668;83890.1
220193000;14.190923604;40.828880693;83905.8
220194000;14.190923524;40.828880635;83915.8
220195000;14.190923481;40.828880525;83937.8
220196000;14.190923474;40.828880356;83958.0
220197000;14.190923461;40.828880128;83981.7
220198000;14.190923464;40.828879932;84010.2
220199000;14.190923478;40.828879752;84028.2
220200000;14.190923502;40.828879548;84041.5
220201000;14.190923534;40.828879306;84042.3
220202000;14.190923544;40.82887904;84033.3
220203000;14.190923558;40.828878762;84023.9
220204000;14.190923563;40.828878429;84018.2
220205000;14.190923569;40.82887809;84003.2
220206000;14.190923519;40.828877795;83975.4
220207000;14.190923456;40.828877791;84053.3
220208000;14.190923434;40.828877995;84178.6
220209000;14.190923418;40.828878256;84316.3
220210000;14.190923389;40.828878527;84454.4
220211000;14.190923403;40.828878746;84578.4
220212000;14.190923441;40.828878898;84673.7
220213000;14.190923496;40.828879011;84748.4
220214000;14.190923549;40.828879088;84798.9
220215000;14.190923597;40.828879207;84836.4
220216000;14.190923639;40.828879294;84866.8
220217000;14.190923696;40.828879335;84875.3
220218000;14.190923732;40.828879317;84866.2
220219000;14.190923741;40.828879267;84857.4
220220000;14.190923728;40.828879182;84850.9
220221000;14.19092372;40.82887907;84838.9
220222000;14.190923724;40.828878964;84813.6
220223000;14.190923735;40.828878812;84774.1
220224000;14.190923707;40.828878628;84736.1
220225000;14.190923685;40.828878385;84689.9
220226000;14.190923688;40.828878097;84639.7
220227000;14.190923691;40.828877826;84583.1
220228000;14.190923645;40.828877541;84523.5
220229000;14.190923596;40.828877279;84461.6
220230000;14.190923571;40.828877011;84401.8
220231000;14.190923547;40.828876782;84352.9
220232000;14.190923522;40.828876511;84306.1
220233000;14.190923462;40.828876212;84256.4
220234000;14.190923397;40.828875956;84210.0
220235000;14.190923368;40.828875686;84161.1
220236000;14.190923302;40.828875455;84110.9
220237000;14.190923176;40.82887557;84140.5
220238000;14.190923069;40.828875764;84219.2
220239000;14.190923011;40.828876037;84306.2
220240000;14.190923003;40.828876316;84389.9
220241000;14.19092297;40.828876582;84456.1
220242000;14.190922938;40.82887682;84516.0
220243000;14.190922948;40.828877023;84565.7
220244000;14.19092295;40.828877221;84612.7
220245000;14.190922965;40.828877382;84668.5
220246000;14.190922978;40.828877494;84727.8
220247000;14.190922977;40.82887757;84776.6
220248000;14.190922972;40.828877627;84813.6
220249000;14.190922994;40.828877662;84837.8
220250000;14.190923025;40.828877696;84870.6
220251000;14.19092305;40.828877706;84895.8
220252000;14.190923051;40.828877664;84914.5
220253000;14.190923026;40.828877575;84931.2
220254000;14.190922977;40.828877429;84933.8
220255000;14.190922905;40.828877298;84941.9
220256000;14.190922852;40.828877172;84952.8
220257000;14.190922838;40.82887708;84966.0
220258000;14.190922801;40.828876962;84968.6
220259000;14.19092278;40.828876811;84965.4
